종목명,우대법령,조문내역,활용내용,해당1,해당2,해당3,해당4,해당5,해당6,해당7,해당8,우선순위1,우선순위2,우선순위3,우선순위4,우대분류,중처법대상
3D프린터개발산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
3D프린터운용기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
가구제작기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
가구제작산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
가스기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
가스기능장,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
가스기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
가스기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
가스산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
가스텅스텐아크용접기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
거푸집기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설기계기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설기계설비기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설기계설비산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설기계정비기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설기계정비기능장,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설기계정비기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설기계정비산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설안전기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설안전기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설안전산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설재료시험기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설재료시험기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건설재료시험산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축구조기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축기계설비기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축도장기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축목공기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축목공산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축목재시공기능장,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축설비기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축설비산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축시공기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
